4 1 v  1 6 7  3 4 2
4 4 2  8 1 4  5 6 v
6 3 6  9 5 8  3 9 v

4 v 1  2 4 9  9 5 9
2 9 v  v 2 3  8 3 3
v 9 6  7 5 4  2 1 4

v 2 2  2 7 4  8 5 3
4 8 v  6 5 7  6 1 8
9 1 6  v 5 1  8 8 v


5 3 v  v 7 v  v v v
6 v v  1 9 5  v v v
v 9 8  v v v  v 6 v

8 v v  v 6 v  v v 3
4 v v  8 v 3  v v 1
7 v v  v 2 v  v v 6

v 6 v  v v v  2 8 v
v v v  4 1 9  v v 5
v v v  v 8 v  v 7 9


9 1 7  9 6 9  7 v 4
8 6 6  1 4 v  3 8 7
4 3 3  5 1 6  9 3 4

7 7 4  1 8 v  8 v 9
3 6 7  6 3 v  2 6 1
5 9 9  5 5 4  1 1 1

7 1 7  9 2 3  6 2 7
6 5 7  8 9 1  7 3 3
9 1 6  v 1 7  4 7 3


5 9 7  4 1 5  7 5 1
6 v v  5 5 5  4 7 3
5 3 5  7 9 v  7 9 2

6 8 8  v 4 9  7 9 3
8 2 5  7 4 4  5 9 v
9 7 2  5 7 5  v 7 v

v 9 v  8 5 2  3 9 1
1 2 7  5 6 5  4 3 3
7 1 9  2 3 3  3 1 9
